Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Tallinn,Kesklinn,,Gonsiori tn 12a,94.8,5,3/9,1980,264500,2790
Harjumaa,Tallinn,Haabersti,Väike-Õismäe,Õismäe tee 3,46.7,2,4/5,1975,100000,2141
Harjumaa,Tallinn,,,Puhangu 65,43.7,2,3/5,1972,129000,2952
Harjumaa,Tallinn,Kristiine,Tondi,Sõjakooli tn 1c-25,46.7,2,1/4,2025,268000,5739
Lääne-Virumaa,Tapa vald,Tamsalu linn,,Ääsi 6-15,53.3,2,5/5,,15900,298
Harjumaa,Tallinn,Lasnamäe,,Muhu 11,32.7,1,4/9,1988,84000,2569
Viljandimaa,Mulgi vald,Mõisaküla linn,,Pärnu tn 26-12,77.7,4,3/3,1977,25000,322
Harjumaa,Anija vald,Aegviidu,,Järve tn 3,45.5,2,1/2,1957,79999,1758
Harjumaa,Kiili vald,Kiili,,Toompihla tn 3a-1,74.9,4,1/1,2007,214900,2869
Harjumaa,Kose vald,Kose-Uuemõisa,,Kase 6-12,43.7,2,3/3,1969,76000,1739
Harjumaa,Tallinn,Kesklinn,Uus-Veerenni,Pille tn 11/2-52,35.4,2,,2023,250900,7088
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 232,60,3,4/9,1968,132500,2208
Pärnumaa,Põhja-Pärnumaa vald,Libatse,,Keskus 5 5,66.3,3,1/3,1979,24999,377
Harjumaa,Tallinn,Kristiine,Kristiine City,Talli tn 3-33,46.6,2,5/7,2025,209100,4487
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Oru tn 2-3,44.3,2,1/4,1977,14500,327
Harjumaa,Tallinn,Kesklinn,,J. Kappeli tn 3/2,75.5,3,2/3,1940,240000,3179
Harjumaa,Tallinn,Haabersti,,Õismäe tee 106,49.4,2,9/9,1976,117900,2387
Tartumaa,Elva vald,Elva linn,,Jõe 2,128.3,4,1/2,,127000,990
Harjumaa,Tallinn,Kesklinn,,Liivalaia tn 11/1,47.5,2,1/3,1935,189000,3979
Järvamaa,Türi vald,Käru,,Vesiroosi tn 7,78.4,4,3/3,1993,35000,446
Viljandimaa,Viljandi,Kesklinn,,Mäe tn 4,78,4,,,199999,2564
Harjumaa,Tallinn,Kesklinn,,Gonsiori tn 30,84.1,4,2/4,1939,380000,4518
Harjumaa,Tallinn,,,Paekalda tn 21-4,42.7,2,2/8,2024,180000,4215
Pärnumaa,Tori vald,Sauga,,Hirvela 26-12,58.8,3,3/3,2006,115000,1956
Harjumaa,Tallinn,Kadriorg,,Narva mnt 120-48,77.8,4,4/5,2025,439000,5643
Harjumaa,Rae vald,Rae,Rae küla,Graniidi tee 23/1,40.6,2,2/3,,146400,3606
Harjumaa,Tallinn,Lasnamäe,Seli,Ümera tn,49.6,2,8/9,1985,93000,1875
