Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Lääne-Virumaa,Rakvere,,,Kungla tn 6,79.4,4,5/5,1980,67600,851
Harjumaa,Loksa,,,Lasteaia tn 5,61,3,3/5,1984,40000,656
Harjumaa,Maardu,,,Kallasmaa 11,58,3,3/5,1978,81000,1397
Pärnumaa,Tori vald,Sindi linn,,Kooli tn 7a,44,2,1/5,1970,52800,1200
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 5-25,82.8,4,3/4,2023,312990,3780
Tartumaa,Tartu,Tartu linn,Karlova,Siili tn 10-5,92.5,3,2/8,2025,219000,2368
Harjumaa,Tallinn,Kesklinn,,Jõe 7,45.4,2,7/10,2005,164000,3612
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Vahi 64a-1,63,3,2/6,2023,173900,2760
Harjumaa,Tallinn,Kesklinn,Kitseküla,Madli tn 1-74,88.8,4,4/4,2024,441000,4966
Harjumaa,Tallinn,Nõmme,,Valdeku tn 112,43.8,2,4/5,1988,109900,2509
Ida-Virumaa,Kohtla-Järve,Ahtme,,Jaaniku tn 10,50.8,3,2/3,1977,31900,628
Pärnumaa,Häädemeeste vald,Treimani,,Oktaavia 1,67.9,3,1/2,,54900,809
Harjumaa,Tallinn,Pirita,,Purje tn 7,111.2,4,3/3,,635000,5710
Saaremaa,Saaremaa vald,Kuressaare linn,,M. Körberi tn 10-8,64.2,3,3/3,2024,235900,3674
Tartumaa,Tartu,Kesklinn,,Narva mnt 107,50.3,2,1/3,1927,125000,2485
Harjumaa,Tallinn,Põhja-Tallinn,Kalaranna Kvartal,Kalaranna tn 8/7-24,84.8,3,5/5,2024,577000,6804
Harjumaa,Tallinn,Haabersti,,Merirahu tn 6,51.5,2,2/4,2013,219000,4252
Viljandimaa,Viljandi,,,Kauge tn 26,46.8,2,4/5,1979,84900,1814
Tartumaa,Tartu,Märja,,Looga tn 12-12,32.5,1,2/3,2025,98000,3015
Tartumaa,Tartu,Tartu linn,Ülejõe,Anne 2,60.3,4,3/5,1970,130000,2156
Ida-Virumaa,Narva,,,Kose tn 8,70.9,3,,1875,32000,451
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne tn 14-1,37.7,2,1/4,2024,116990,3103
Harjumaa,Lääne-Harju vald,Paldiski linn,,Peetri tn 22,32,1,2/5,1987,28900,903
Harjumaa,Tallinn,Mustamäe,,Kiili tn 14-9,112,3,4/5,2025,345000,3080
Ida-Virumaa,Kohtla-Järve,Ahtme,,Maleva tn 37,61.7,3,1/5,1982,27000,438
Tartumaa,Tartu,Tartu linn,Karlova,Siili tn 10-25,46.8,2,6/8,2025,160000,3419
Harjumaa,Tallinn,Mustamäe,,Kadaka pst 146/1,37.4,1,2/9,2017,164000,4385
Pärnumaa,Pärnu,Kesklinn,,Mai tn 77-1,57.5,2,1/3,2025,197600,3437
Lääne-Virumaa,Rakvere,,,Adoffi 1-16,72,3,2/4,2025,214500,2979
Raplamaa,Rapla vald,Alu,,Saaremäe 1,41.5,2,2/2,1972,52900,1275
Harjumaa,Lääne-Harju vald,Paldiski linn,,Sadama tn 15,38.9,2,4/5,1970,57000,1465
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 10/1-8,67.6,3,2/4,2025,399900,5916
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/13-26,68,3,3/3,2024,217900,3204
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Heina tn 6a,110.7,5,1/3,2023,687000,6206
Harjumaa,Tallinn,Vanalinn,,Pikk 15-6,89.1,4,1/3,1636,499614,5607
Harjumaa,Tallinn,Kristiine,Lilleküla,Sõpruse pst 28-37,69.9,3,2/5,2024,334000,4778
Ida-Virumaa,Narva,,,Uusküla tn 6,57.9,3,1/2,1956,49900,862
Harjumaa,Tallinn,Kristiine,Lilleküla,Vindi tn 18,33.9,2,1/5,1974,90000,2655
Harjumaa,Tallinn,Kesklinn,,Virmalise tn 28,75,3,4/4,1956,259900,3465
Võrumaa,Võru,,,Koreli 28a,75.6,4,3/5,1986,71500,946
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne tn 11,46.8,2,1/5,1977,68000,1453
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137,82.7,4,12/16,2024,347000,4196
Valgamaa,Valga vald,Valga linn,,Vahtra tn 3-28,45.6,2,5/5,1985,9000,197
Pärnumaa,Pärnu,Pärnu linn,Rannarajoon,A. H. Tammsaare pst 28,46.9,2,5/5,1970,94900,2023
Ida-Virumaa,Narva,,,Tallinna mnt 34,58.1,3,2/5,1973,41000,706
Harjumaa,Tallinn,Mustamäe,,Pöörise 5-51,72.9,3,9/12,2021,240000,3292
Ida-Virumaa,Sillamäe,,,Ranna tn. 31a,68,3,7/9,,52000,765
Harjumaa,Tallinn,Kesklinn,,Suur-Karja 12-10,93.1,3,3/5,2023,605000,6498
Harjumaa,Maardu,Telliskivist maja .Kõrged laed,,Stardi tn 4,53,2,1/2,1958,55000,1038
Tartumaa,Tartu,Tartu linn,Annelinn,Anne tn 82,65,3,2/9,1985,92900,1429
Harjumaa,Tallinn,Haabersti,,Räime tn 15,51.7,2,2/3,2007,169500,3279
Lääne-Virumaa,Tapa vald,Tapa linn,,Eha tn 16,27.4,1,2/3,1984,14900,544
Ida-Virumaa,Sillamäe,,,Ranna tn 4,48.1,2,3/5,1990,21000,437
Ida-Virumaa,Kohtla-Järve,Ahtme,,Kasteheina tn 6,79.2,4,1/9,1991,62500,789
Harjumaa,Tallinn,Põhja-Tallinn,,Sepa tn 28-14,66.3,3,4/5,2025,389000,5867
Harjumaa,Tallinn,Nõmme,,Nurme tn 39/1,40.5,3,1/2,1946,129000,3185
Harjumaa,Rae vald,Vaida,,Piibelehe 14,64.3,3,2/5,1985,106000,1649
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Kaupmehe tn 12-27,65.2,3,4/4,2024,187900,2882
Läänemaa,Haapsalu,Haapsalu linn,,Mulla tn 10,43.7,2,5/5,1972,75000,1716
Harjumaa,Tallinn,Mustamäe,,Kuklase 3,79.5,4,1/9,1987,185000,2327
Läänemaa,Lääne-Nigula vald,Linnamäe,,Kooli tee 5,68.3,3,2/2,1976,65000,952
Tartumaa,Tartu,Tartu linn,Kesklinn,Kastani tn 83-3,84.7,4,1/2,2024,359000,4238
Pärnumaa,Pärnu,Kesklinn,,Riia mnt 15//Suur-Sepa tn 2a,43.2,2,1/3,2006,135000,3125
Harjumaa,Tallinn,Nõmme,,Tungla tn 14,57.1,3,4/5,1978,145000,2539
Järvamaa,Paide,Paide linn,,Soo 10,66.6,3,5/5,1977,55000,826
Harjumaa,Tallinn,Mustamäe,Kadaka,E. Vilde tee 134,60.8,4,4/5,1965,150900,2482
Harjumaa,Tallinn,Lasnamäe,,Viieaia tee 28-30,28.2,1,4/11,2025,93900,3330
Tartumaa,Tartu,Tartu linn,Kesklinn,Kroonuaia 13,42.5,2,1/2,,119900,2821
Harjumaa,Tallinn,Pirita,,Padriku tn 3/4,95.4,3,4/4,2005,229000,2400
Harjumaa,Tallinn,Vanalinn,,Vene tn 19,57.4,1,1/3,,229000,3990
Harjumaa,Tallinn,Lasnamäe,Tondiraba,Arbu tn 9,52.5,2,5/5,1981,122000,2324
Tartumaa,Tartu,Tartu linn,Karlova,Siili tn 12-23,92.3,3,5/8,2026,234000,2535
Harjumaa,Tallinn,Haabersti,,Tagala tn 7-51,48.3,2,3/4,2025,176000,3644
Harjumaa,Tallinn,Haabersti,,Jalami 6/2-27,84.7,4,2/4,,297900,3517
Harjumaa,Tallinn,Kesklinn,,Lelle 24-36,57.9,2,11/16,2015,172900,2986
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta tn 12/2,115.7,5,5/7,2023,599000,5177
Pärnumaa,Pärnu,Paikuse,,Pärnade pst 9,48.4,2,3/3,,68000,1405
Harjumaa,Tallinn,Kesklinn,Kitseküla,Madli tn 1-58,81.7,3,1/4,2024,395900,4846
Tartumaa,Tartu,Kesklinn,,Aleksandri tn 1,40.6,2,2/5,1962,120000,2956
Harjumaa,Tallinn,Kesklinn,,Tartu mnt 44-23,49.8,2,5/8,2025,295300,5930
Pärnumaa,Pärnu,Paikuse,PAIKUSE,Kooli tee 11,64.6,3,3/3,1994,120000,1858
Harjumaa,Loksa,,,Uus tn 6,57,3,3/3,1974,55000,965
Ida-Virumaa,Narva,,,Soldina tn 13,37.6,1,8/9,1978,22000,585
Harjumaa,Saue vald,Saue linn,HEA ASUKOHT SAUEL,Kuuseheki tn 50,81.5,4,2/3,2019,249000,3055
Harjumaa,Tallinn,Haabersti,,Päevalille 17-69,36.3,1,,2023,157000,4325
Harjumaa,Tallinn,Põhja-Tallinn,,Randla tn 14,27,1,3/4,1961,85000,3148
Harjumaa,Anija vald,Kehra linn,,Kooli 12,47,2,2/4,1969,70000,1489
Pärnumaa,Pärnu,Rannarajoon,,A.H. Tammsaare 10c,70.7,3,3/3,1998,175000,2475
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-13,94.9,4,4/6,2025,632000,6660
Valgamaa,Valga vald,Valga linn,,Sepa tn 1,46.3,2,4/5,,18500,400
Harjumaa,Tallinn,Põhja-Tallinn,,Niine tn 12,143,4,3/3,1915,490000,3427
Harjumaa,Tallinn,Nõmme,Glehni Park,Särje tn 24,140.8,5,,2008,490000,3480
Harjumaa,Tallinn,Kesklinn,,Odra tn 6-65,93.7,4,2/6,2023,465000,4963
Harjumaa,Tallinn,Kesklinn,,Alevi tn 3-8,111.2,4,4/12,2025,454900,4091
Võrumaa,Võru,,,Vilja tn 27b,80.3,2,1/1,1956,64000,797
Harjumaa,Tallinn,Haabersti,,Lammi tn 8,80.3,3,1/4,2023,321000,3998
Raplamaa,Rapla vald,Rapla linn,,Võsa 33,116.3,5,1/3,1987,167500,1440
Tartumaa,Kambja vald,Ülenurme,,Silmapiiri tn 1,72.3,3,2/3,2022,195000,2697
Harjumaa,Tallinn,Kesklinn,Uus Maailm,Villardi tn 26,47.2,2,3/3,1947,129900,2752
Harjumaa,Tallinn,Põhja-Tallinn,Stroomi rand,Puhangu tn 63--,43.7,2,4/5,1972,126900,2904
Ida-Virumaa,Kohtla-Järve,Ahtme,,Kasteheina 5,48.4,2,3/5,1988,11000,227
Harjumaa,Tallinn,Põhja-Tallinn,,Kalaranna tn,88,3,4/5,2022,632000,7182
Harjumaa,Tallinn,Kesklinn,Sikupilli,Katusepapi tn 12-6,56.3,3,1/4,2016,247000,4387
Järvamaa,Järva vald,Aravete,,Lasteaia tn 1,66.6,3,1/3,1983,40000,601
Harjumaa,Anija vald,Kehra linn,,Spordi tn 1,47.5,2,3/3,1962,69900,1472
Ida-Virumaa,Kohtla-Järve,Järve,,Mõisa tee 5,28,1,5/5,1970,3000,107
Harjumaa,Tallinn,,,Gonsiori tn 34,29.4,2,1/4,1939,168000,5714
Harjumaa,Tallinn,Kesklinn,Sikupilli,Katusepapi tn 16b-60,55.7,3,3/4,2020,250000,4488
Võrumaa,Võru vald,Lasva,,Palo tee 24 // 26,40.2,1,1/3,1982,29000,721
Ida-Virumaa,Kohtla-Järve,Järve,,Pisuhänna tn 5,97.4,4,2/3,1948,38500,395
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/1-16,71.1,4,7/14,2024,227000,3193
Pärnumaa,Pärnu,Kesklinn,,Vana-Sauga 2-39,43.7,2,3/4,1870,179000,4096
Harjumaa,Tallinn,Mustamäe,,Ehitajate tee 84,61.1,3,1/5,,118000,1931
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 220,43,2,4/5,1968,116900,2719
Ida-Virumaa,Sillamäe,,,J. Gagarini tn 31,46.7,2,5/9,1979,16900,362
Pärnumaa,Pärnu,Kesklinn,Vanasadama kvartal,Kalda 4-26,68.8,3,3/5,2025,330000,4797
Harjumaa,Tallinn,Põhja-Tallinn,,Suur-Patarei 5,36.1,1,3/4,2000,156000,4321
Harjumaa,Viimsi vald,Haabneeme,,Heki tee 12/1,64.1,3,4/5,2017,235000,3666
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 7-28,63.2,3,3/4,2023,278990,4414
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 8/2-4,128.9,5,2/6,2025,699900,5430
Jõgevamaa,Põltsamaa vald,Kamari,,Sakala tn 13,59,3,1/3,1982,40000,678
Järvamaa,Paide,Paide linn,,Tiigi tn 7-13,30.2,1,3/3,1926,71500,2368
Harjumaa,Tallinn,Kesklinn,,Suur-Ameerika tn 12,63.5,2,7/7,2007,201000,3165
Harjumaa,Maardu,,,Avar tn 5,47.7,2,3/5,1987,84950,1781
Pärnumaa,Pärnu,Kesklinn,,Suur-Jõe 26-2,65.6,3,1/3,2025,236000,3598
Pärnumaa,Saarde vald,Kilingi-Nõmme linn,,Turu 5,49.6,2,1/2,1975,42000,847
Pärnumaa,Pärnu,Kesklinn,,Suur-Jõe 30/1,34.8,2,2/2,,74900,2152
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 24/2-5,100.9,3,2/3,2026,595310,5900
Saaremaa,Saaremaa vald,Kuressaare linn,,Tehnika 2,59.4,3,3/5,1979,142000,2391
Ida-Virumaa,Lüganuse vald,Kiviõli linn,,Keskpuiestee 41,51.9,2,3/3,1958,4200,80.9
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Piloodi 1-19,68.7,3,3/3,2026,191900,2793
Harjumaa,Tallinn,Haabersti,,Tagala tn 7-37,70.4,3,1/4,2025,245000,3480
Pärnumaa,Pärnu,Pärnu linn,Ülejõe,Suur-Jõekalda 4a,44.6,2,2/4,1987,145000,3251
Tartumaa,Tartu,Kesklinn,,W. Struve tn 8,77.7,3,4/4,1930,185000,2381
Järvamaa,Järva vald,Taadikvere,,Kooli tee 2-4,74.2,3,2/2,1971,10200,137
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Narva mnt 29,46.1,2,5/5,1973,23000,499
Raplamaa,Märjamaa vald,Märjamaa,,Pärnu mnt 78a-4,35.5,2,1/2,1893,67900,1913
Harjumaa,Harku vald,Tiskre,,Möldre tee 8-4,103.9,4,2/3,2023,319000,3070
Harjumaa,Lääne-Harju vald,Lehola,,Lehola tee 9,43.7,2,2/2,1965,46000,1053
Ida-Virumaa,Kohtla-Järve,Ahtme,,Lehola tn 6,65.4,3,1/2,1957,50000,765
Ida-Virumaa,Narva,,,Vahtra tn 4,31.5,1,2/5,1976,15500,492
Pärnumaa,Pärnu,Audru,,Raku tee 1,44.5,2,2/3,1967,53000,1191
Ida-Virumaa,Narva,Kesklinn,,Tallinna mnt 36,58.8,3,5/5,,59000,1003
Harjumaa,Tallinn,Mustamäe,,Siili tn 7a,61.6,3,5/5,1985,145000,2354
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne tn 5,31.2,1,5/5,1995,65000,2083
Harjumaa,Tallinn,Nõmme,,Põllu tn 137-1,102.4,4,1/3,2025,399000,3896
Harjumaa,Tallinn,Lasnamäe,,Läänemere tee 2,64.9,3,9/9,1990,110000,1695
Ida-Virumaa,Narva,,,P. Kerese tn 13,40.2,2,1/4,1963,35000,871
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 15,75.6,4,1/5,1982,124000,1640
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 16/2-27,42,2,5/8,2023,178990,4262
Harjumaa,Saue vald,Laitse,,Lossi tee 9,230.7,5,2/3,1892,390000,1691
Lääne-Virumaa,Rakvere,,,Mõisavälja 6,33.4,1,1/2,1968,85000,2545
Ida-Virumaa,Narva,,,Kangelaste prospekt 41,65.3,3,3/9,1993,42900,657
Harjumaa,Kiili vald,Luige,,Põllu tn 12b-1,84.2,4,1/3,2025,309900,3681
Harjumaa,Tallinn,Põhja-Tallinn,Pelgurand,Pelguranna tn 7,37.5,2,1/4,,95000,2533
Harjumaa,Tallinn,Lasnamäe,,Linnamäe tee 22,32.6,1,2/9,1988,76000,2331
Harjumaa,Tallinn,Põhja-Tallinn,,Uus-Volta tn 12/3,60,2,1/5,,280000,4667
Harjumaa,Tallinn,Haabersti,Pikaliiva,Pikaliiva tn 7-8,52.8,2,1/4,2023,206990,3920
Ida-Virumaa,Narva,,,Mõisa tn 3,57.8,3,3/5,1971,42500,735
Ida-Virumaa,Toila vald,Järve,,2,72.1,4,2/2,1976,42500,589
Tartumaa,Tartu,Tartu linn,Kesklinn,Filosoofi 2,45.7,2,1/2,,115000,2516
Harjumaa,Maardu,KIIRMÜÜGIHIND! KORTER ON VABA!,,Stardi tn 8-x,40.9,2,1/4,1964,59900,1465
Harjumaa,Tallinn,Kristiine,Kristiine City,Talli tn 3-24,90.5,4,4/7,2025,340347,3761
Harjumaa,Tallinn,Haabersti,,Hanijala tn 9/2-14,80,4,3/3,2024,284900,3561
Tartumaa,Tartu,Tartu linn,Ihaste,Koidutähe tee 60,50.8,2,3/3,2017,157000,3091
Pärnumaa,Pärnu,Pärnu linn,,Mai tn 18,48.6,2,2/5,1982,103000,2119
Harjumaa,Tallinn,Kristiine,,Seebi tn 36--,30.5,1,,1972,74900,2456
Harjumaa,Tallinn,Mustamäe,,E. Vilde tee 84,43.2,2,5/9,1972,114900,2660
Pärnumaa,Pärnu,Kesklinn,,Rääma tn 7D/2-9,58.6,3,4/4,2024,270000,4608
Harjumaa,Harku vald,Harku,,Paldiski mnt 227c/2,63.7,3,8/14,2024,225000,3532
Harjumaa,Tallinn,Haabersti,,Hansu tn 35-11,138.6,5,3/3,2024,437900,3159
Harjumaa,Tallinn,Mustamäe,,Mäepealse 31,44.3,2,3/6,2023,179900,4061
Harjumaa,Tallinn,Mustamäe,,Vilde tee 88,43.6,2,1/5,,120000,2752
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Mõisa allee 3,67.5,3,1/3,2006,158000,2341
Harjumaa,Tallinn,Kesklinn,Tallinn-Väike,Türi tn 9/2-46,56.8,2,1/7,2023,228500,4023
Pärnumaa,Pärnu,Pärnu linn,Rääma,Rohu tn 15-11,41.3,2,3/4,,91900,2225
Harjumaa,Maardu,,,Ringi tn 46,47,2,1/5,1977,86000,1830
Ida-Virumaa,Narva,,,Soldina tn 10,49.4,2,1/5,1971,35000,709
Harjumaa,Tallinn,Kesklinn,,Gildi tn 8,52.5,2,1/5,1974,165000,3143
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/3-88,79.5,4,6/10,2024,242000,3044
Harjumaa,Tallinn,Kesklinn,,Võistluse 1,70.6,2,2/6,2018,299000,4235
Raplamaa,Rapla vald,Rapla linn,,Põllu 1a-5,35,2,2/3,2002,105000,3000
Tartumaa,Kambja vald,Ülenurme,,Silmapiiri tn 1-36,59.2,2,3/3,2023,133000,2247
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 7-8,28.5,1,2/3,2025,169900,5961
Tartumaa,Tartu,Tammelinn,,Savi 39,87,4,2/4,2014,248000,2851
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Lai tn 15a,79.8,3,4/6,2022,480000,6015
Ida-Virumaa,Toila vald,Toila,,Pühaoru tn 10,62.6,3,2/4,1989,45900,733
Läänemaa,Haapsalu,Haapsalu linn,,Tallinna mnt 2,45.3,2,3/3,1960,83000,1832
Tartumaa,Tartu vald,Raadi,,Erminurme tee 2-16,72.1,3,3/3,2023,215900,2994
Lääne-Virumaa,Viru-Nigula vald,Kunda linn,,Koidu tn 69,48.3,2,1/5,1984,15990,331
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe 14,76.5,4,1/5,1982,105000,1373
Pärnumaa,Pärnu,Kesklinn,,Liiva 17,44.6,2,3/3,2023,178500,4002
Ida-Virumaa,Kohtla-Järve,Järve,,Olevi tn 16a,36,2,4/4,1960,2900,80.6
Viljandimaa,Viljandi,,,Suur-Kaare 55,71.4,4,2/5,,95000,1331
Pärnumaa,Pärnu,Pärnu linn,Ülejõe,Uus-Sauga tn 41a,46.9,2,4/4,1973,76000,1620
Tartumaa,Tartu,Tartu linn,Kesklinn,Kalevi 37,115.1,5,2/2,2011,319000,2772
Tartumaa,Elva vald,Ulila,,Kesk tn 14,39.2,2,3/3,1974,51900,1324
Harjumaa,Tallinn,Mustamäe,,A. H. Tammsaare tee 119,60.3,4,2/5,1968,125000,2073
Harjumaa,Tallinn,Haabersti,Tiskre,Möldre tee 5/2-6,112.3,4,1/2,2023,275000,2449
Harjumaa,Rae vald,Järveküla,Peetri,Käokella tee 5,138.4,4,0/2,2025,325000,2348
Harjumaa,Maardu,,,Kallasmaa 15,49,2,5/5,,99500,2031
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 5-115,57.4,2,1/5,2026,299000,5209
Harjumaa,Keila,,,Allika tn 7-23,57.1,3,5/5,2024,224900,3939
Harjumaa,Tallinn,Haabersti,,Kärneri 1,43,2,6/8,2007,185000,4302
Ida-Virumaa,Sillamäe,,,Viru pst. 20,48,2,2/5,,18800,392
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Soo 12/1,44.1,2,2/3,2012,200000,4535
Harjumaa,Saku vald,Saku,Kohila,Viigi tn 6/2-2,105.4,5,,2025,284300,2697
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Hõbe tn 4-2,74.8,3,1/2,2025,335000,4479
Harjumaa,Tallinn,Kesklinn,,Tehnika tn 35,97.6,4,4/4,2024,645888,6618
Pärnumaa,Pärnu,Rannarajoon,,Esplanaadi 10-24,44,2,4/6,2023,220000,5000
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-36,91,3,3/5,2025,508000,5582
Pärnumaa,Pärnu,Kesklinn,Vanasadama kvartal,Kalda 4-9,46.9,2,3/4,2025,170000,3625
Läänemaa,Haapsalu,Haapsalu linn,,Kuuse tn 4-32,38.4,2,4/4,1964,69900,1820
Ida-Virumaa,Narva,,,Tallinna mnt 36,48.4,2,4/5,1971,25800,533
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-62,153.1,5,5/5,2025,1233000,8054
Harjumaa,Tallinn,Lasnamäe,,Ümera tn 2,32.7,1,8/9,1986,85000,2599
Harjumaa,Tallinn,Lasnamäe,,Uuslinna tn 11,550,10,3/4,2000,1500000,2727
Viljandimaa,Viljandi,,,C. R. Jakobsoni 8-9,67.8,3,2/3,1910,335600,4950
Harjumaa,Tallinn,Põhja-Tallinn,Pelgurand,Randla tn 14,37,2,3/4,1961,90000,2432
Tartumaa,Tartu vald,Raadi,,Kukerpuu tn 1-24,47.8,2,3/3,2024,141000,2950
Ida-Virumaa,Narva,,,Suur tn 9,68.6,2,3/3,1959,50000,729
Harjumaa,Tallinn,Lasnamäe,,Läänemere tee 9,37.8,1,5/5,1994,84900,2246
Pärnumaa,Pärnu,Pärnu linn,,Rääma tn 7C/1-3,39.4,2,2/4,2025,143000,3629
Tartumaa,Tartu,Karlova,,Kastani 147//149,17.1,1,2/3,,57000,3333
Harjumaa,Tallinn,Kesklinn,,Pirita tee 26,122.2,4,5/9,2015,795000,6506
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise 13/2-4,68.7,3,2/4,2024,369000,5371
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 18/1-10,42.5,2,4/4,2025,196990,4635
Harjumaa,Tallinn,Haabersti,,Tagala tn 9-9,72.5,3,2/4,2025,246000,3393
Harjumaa,Tallinn,Põhja-Tallinn,,Sõle tn 76,37.8,2,1/4,1964,92000,2434
Harjumaa,Rae vald,Rae,,Väike-Rae tee 25/2,99.5,5,1/3,2021,325000,3266
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Suur-Posti tn 12/1,30.5,1,2/2,,55000,1803
Lääne-Virumaa,Tapa vald,Tapa linn,,Üleviste tn 7,60.6,3,2/5,1984,32000,528
Ida-Virumaa,Narva,,,Uusküla tn 21-68,48.3,2,5/9,1977,19000,393
Harjumaa,Tallinn,Kesklinn,Stellar,Tartu mnt 15-17,80.1,3,4/16,2027,427000,5331
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne tn 9-28,56,3,5/5,1995,100000,1786
Pärnumaa,Pärnu,Pärnu linn,Rannarajoon,Tiiru 5,45.3,2,3/7,2019,190000,4194
Harjumaa,Saue vald,Turba,,Lille tn 9-9,36.9,2,1/2,1964,42500,1152
Harjumaa,Tallinn,Lasnamäe,,K. Kärberi tn 8,59.7,3,9/9,1984,139000,2328
Pärnumaa,Pärnu,Kesklinn,,Papiniidu tn 33,62.8,4,1/5,1979,149000,2373
Harjumaa,Rae vald,Jüri,,Kasemäe 3,77.7,4,3/3,1980,165000,2124
Tartumaa,Tartu vald,Tila,,Erminurme tee 2-17,48.3,2,3/3,2025,169900,3518
Pärnumaa,Pärnu,Pärnu linn,Tammiste,Nurmenuku tn 4/3-4,78.6,3,1/3,2023,243000,3092
Ida-Virumaa,Narva,,,Tallinna mnt 8,101.7,4,3/4,1958,62000,610
Harjumaa,Saue vald,Saue linn,,Kütise tn 7,62.8,3,1/3,1982,127000,2022
Harjumaa,Rae vald,Vaida,,Piibelehe tn 14,52.8,2,1/5,1985,89700,1699
Harjumaa,Tallinn,Kesklinn,,F. R. Kreutzwaldi tn 19,67.2,2,1/6,1936,239900,3570
Tartumaa,Elva vald,Ulila,,Kesk tn 12,77,4,1/3,1974,64000,831
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/3-75,71.1,4,2/10,2024,219000,3080
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-15,135,4,4/6,2025,1026000,7600
Harjumaa,Tallinn,Kesklinn,,J. Kappeli 3/2,79,4,2/3,1940,300000,3797
Tartumaa,Tartu,Vaksali,,Kooli 18,40.9,2,1/2,1977,119000,2910
Harjumaa,Tallinn,Kesklinn,City Residence,Tartu mnt 56,96.6,4,3/8,2016,368000,3810
Harjumaa,Tallinn,Haabersti,,Järveotsa tee 41,65.6,3,1/9,1978,130000,1982
Harjumaa,Tallinn,Kesklinn,,Kollane tn 4,72.2,3,2/6,2008,320000,4432
Harjumaa,Tallinn,Lasnamäe,Seli,Ümera 28a,74.8,4,8/9,2018,219900,2940
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-5,113.3,4,2/6,2025,709000,6258
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137-172,63.8,3,10/12,2024,274400,4301
Pärnumaa,Pärnu,Kesklinn,,Vana-Sauga 2-13,48.9,2,2/4,2025,180000,3681
Pärnumaa,Pärnu,Pärnu linn,,Oja 69-24,58,3,5/6,2024,154000,2655
Ida-Virumaa,Narva,Kesklinn,,Puškini 49,38.1,1,4/9,1985,28999,761
Ida-Virumaa,Kohtla-Järve,Ahtme,,Estonia pst 21-1,48.5,2,4/5,,12500,258
Pärnumaa,Pärnu,,,Kuldse Kodu tn 5,79.8,4,2/5,1980,133800,1677
Harjumaa,Tallinn,,,Pagi tn 3,82,3,1/4,2022,321000,3915
Harjumaa,Tallinn,Kadriorg,,K. A. Hermanni tn 10-1,81.2,3,1/3,1932,265500,3270
Võrumaa,Võru,,,Kreutzwaldi 59c,70,3,3/3,,149000,2129
Harjumaa,Tallinn,Lasnamäe,,Pae tn 25,108.4,4,2/4,1954,149050,1375
Harjumaa,Viimsi vald,Haabneeme,,Kivila tee 2-19,72.2,3,1/4,2024,369900,5123
Põlvamaa,Põlva vald,Karilatsi,,Suuremaja 1-3,51.3,3,2/2,1967,27900,544
Tartumaa,Tartu,Tartu linn,Ihaste,Koidutähe tee 58,99,3,1/3,2008,175000,1768
Harjumaa,Tallinn,Haabersti,,Õismäe tee 64,65,3,5/9,1975,129900,1998
